"","rok","sport","disciplina","medaile","stat","jmena","vysledek"
"613","2002","Ice Hockey","Ice Hockey","zlato","CAN","Jayna HEFFORD
Tammy Lee SHEWCHUK
Cheryl POUNDER
Sami Jo SMALL
Danielle GOYETTE
Lori DUPUIS
Geraldine HEANEY
Colleen SOSTORICS
Therese BRISSON
Dana ANTAL
Caroline OUELLETTE
Vicky SUNOHARA
Kim ST-PIERRE
Cherie PIPER
Cassie CAMPBELL
Isabelle CHARTRAND
Jennifer BOTTERILL
Kelly BECHARD
Becky KELLAR
Hayley WICKENHEISER",""
"614","2002","Ice Hockey","Ice Hockey","stříbro","USA","Courtney KENNEDY
Cammi GRANATO
Katie KING
Laurie BAKER
Andrea KILBOURNE
Allison MLECZKO
Natalie DARWITZ
Sue MERZ
Tara MOUNSEY
Sara DECOSTA
Tricia DUNN-LUOMA
Shelley LOONEY
Karyn BYE
Angela RUGGIERO
Jenny POTTER
Sarah TUETING
Lyndsay WALL
Chris BAILEY
Krissy WENDELL
Julie CHU",""
"615","2002","Ice Hockey","Ice Hockey","bronz","SWE","Maria ROOTH
Lotta ALMBLAD
Annica AHLEN
Ann-Louise EDSTRAND
Danijela RUNDQVIST
Gunilla ANDERSSON
Anna VIKMAN
Ylva LINDBERG
Kristina BERGSTRAND
Emelie BERGGREN
Joa ELFSBERG
Ulrica LINDSTROM
Kim MARTIN
Erika HOLST
Nanna JANSSON
Maria LARSSON
Evelina SAMUELSSON
Josefin PETTERSSON
Therese SJOLANDER
Anna ANDERSSON",""
"616","2002","Luge","Singles","zlato","ITA","Armin ZOEGGELER","00:02:57.941"
"617","2002","Luge","Singles","stříbro","GER","Georg HACKL","2:58.270"
"618","2002","Luge","Singles","bronz","AUT","Markus PROCK","00:02:58.283"
"619","2002","Luge","Singles","zlato","GER","Sylke OTTO","00:02:52.464"
"620","2002","Luge","Singles","stříbro","GER","Barbara NIEDERNHUBER","00:02:52.785"
"621","2002","Luge","Singles","bronz","GER","Silke KRAUSHAAR","00:02:52.865"
"622","2002","Luge","Doubles","zlato","GER","Patric-Fritz LEITNER
Alexander RESCH","00:01:26.082"
"623","2002","Luge","Doubles","stříbro","USA","Mark GRIMMETTE
Brian MARTIN","00:01:26.216"
"624","2002","Luge","Doubles","bronz","USA","Chris THORPE
Clay IVES","00:01:26.220"
"625","2002","Nordic Combined","Individual","zlato","FIN","Samppa LAJUNEN","00:38:18.700"
"626","2002","Nordic Combined","Individual","stříbro","FIN","Jaakko TALLUS","00:39:36.400"
"627","2002","Nordic Combined","Individual","bronz","AUT","Felix GOTTWALD","00:37:23.500"
"628","2002","Nordic Combined","Team","zlato","FIN","Samppa LAJUNEN
Jaakko TALLUS
Jari MANTILA
Hannu MANNINEN","00:48:42.200"
"629","2002","Nordic Combined","Team","stříbro","GER","Marcel HOEHLIG
Bjoern KIRCHEISEN
Georg HETTICH
Ronny ACKERMANN","00:48:49.700"
"630","2002","Nordic Combined","Team","bronz","AUT","Mario STECHER
Christoph BIELER
Michael GRUBER
Felix GOTTWALD","00:48:53.200"
"631","2002","Nordic Combined","Sprint","zlato","FIN","Samppa LAJUNEN","00:16:40.100"
"632","2002","Nordic Combined","Sprint","stříbro","GER","Ronny ACKERMANN","00:16:34.100"
"633","2002","Nordic Combined","Sprint","bronz","AUT","Felix GOTTWALD","00:16:29.300"
"634","2002","Snowboard","Half-pipe","zlato","USA","Ross POWERS","46.1"
"635","2002","Snowboard","Half-pipe","stříbro","USA","Daniel KASS","42.5"
"636","2002","Snowboard","Half-pipe","bronz","USA","Jarret THOMAS","42.1"
"637","2002","Snowboard","Half-pipe","zlato","USA","Kelly CLARK","47.9"
"638","2002","Snowboard","Half-pipe","stříbro","FRA","Doriane VIDAL","43"
"639","2002","Snowboard","Half-pipe","bronz","SUI","Fabienne REUTELER","39.7"
"640","2002","Snowboard","Giant Parallel Slalom","zlato","SUI","Philipp SCHOCH","1000"
"641","2002","Snowboard","Giant Parallel Slalom","stříbro","SWE","Richard RIKARDSSON","800"
"642","2002","Snowboard","Giant Parallel Slalom","bronz","USA","Chris KLUG","600"
"643","2002","Snowboard","Giant Parallel Slalom","zlato","FRA","Isabelle BLANC","1000"
"644","2002","Snowboard","Giant Parallel Slalom","stříbro","FRA","Karine RUBY","800"
"645","2002","Snowboard","Giant Parallel Slalom","bronz","ITA","Lidia TRETTEL","600"
"646","2002","Ski Jumping","K90 Individual (70m)","zlato","SUI","Simon AMMANN","269"
"647","2002","Ski Jumping","K90 Individual (70m)","stříbro","GER","Sven HANNAWALD","267.5"
"648","2002","Ski Jumping","K90 Individual (70m)","bronz","POL","Adam MALYSZ","263"
"649","2002","Ski Jumping","K120 Individual (90m)","zlato","SUI","Simon AMMANN","281.4"
"650","2002","Ski Jumping","K120 Individual (90m)","stříbro","POL","Adam MALYSZ","269.7"
"651","2002","Ski Jumping","K120 Individual (90m)","bronz","FIN","Matti HAUTAMAEKI","256"
"652","2002","Ski Jumping","K120 Team (90m)","zlato","GER","Sven HANNAWALD
Martin SCHMITT
Stephan HOCKE
Michael UHRMANN","974.1"
"653","2002","Ski Jumping","K120 Team (90m)","stříbro","FIN","Janne AHONEN
Risto JUSSILAINEN
Veli-Matti LINDSTROEM
Matti HAUTAMAEKI","974"
"654","2002","Ski Jumping","K120 Team (90m)","bronz","SLO","Primoz PETERKA
Peter ZONTA
Robert KRANJEC
Damjan FRAS","946.3"
"655","2002","Skeleton","Individual","zlato","USA","Jim SHEA","00:01:41.96"
"656","2002","Skeleton","Individual","stříbro","AUT","Martin RETTL","00:01:42.01"
"657","2002","Skeleton","Individual","bronz","SUI","Gregor STAEHLI","00:01:42.15"
"658","2002","Skeleton","Individual","zlato","USA","Tristan GALE","00:01:45.11"
"659","2002","Skeleton","Individual","stříbro","USA","Lea Ann PARSLEY","00:01:45.21"
