"","rok","sport","disciplina","medaile","stat","jmena","vysledek"
"1","2010","Alpine Skiing","Downhill","zlato","SUI","Didier DEFAGO","1:54.31"
"2","2010","Alpine Skiing","Downhill","stříbro","NOR","Aksel Lund SVINDAL","1:54.38"
"3","2010","Alpine Skiing","Downhill","bronz","USA","Bode MILLER","1:54.40"
"4","2010","Alpine Skiing","Downhill","zlato","USA","Lindsey VONN","1:44.19"
"5","2010","Alpine Skiing","Downhill","stříbro","USA","Julia MANCUSO","1:44.75"
"6","2010","Alpine Skiing","Downhill","bronz","AUT","Elisabeth GOERGL","1:45.65"
"7","2010","Alpine Skiing","Slalom","zlato","ITA","Giuliano RAZZOLI","1:39.32"
"8","2010","Alpine Skiing","Slalom","stříbro","CRO","Ivica KOSTELIC","1:39.48"
"9","2010","Alpine Skiing","Slalom","bronz","SWE","Andre MYHRER","1:39.76"
"10","2010","Alpine Skiing","Slalom","zlato","GER","Maria RIESCH","1:42.89"
"11","2010","Alpine Skiing","Slalom","stříbro","AUT","Marlies SCHILD","1:43.32"
"12","2010","Alpine Skiing","Slalom","bronz","CZE","Sarka ZAHROBSKA","1:43.90"
"13","2010","Alpine Skiing","Giant Slalom","zlato","SUI","Carlo JANKA","2:37.83"
"14","2010","Alpine Skiing","Giant Slalom","stříbro","NOR","Kjetil JANSRUD","2:38.22"
"15","2010","Alpine Skiing","Giant Slalom","bronz","NOR","Aksel Lund SVINDAL","2:38.44"
"16","2010","Alpine Skiing","Giant Slalom","zlato","GER","Viktoria REBENSBURG","2:27.11"
"17","2010","Alpine Skiing","Giant Slalom","stříbro","SLO","Tina MAZE","2:27.15"
"18","2010","Alpine Skiing","Giant Slalom","bronz","AUT","Elisabeth GOERGL","2:27.25"
"19","2010","Alpine Skiing","Super-G","zlato","NOR","Aksel Lund SVINDAL","1:30.34"
"20","2010","Alpine Skiing","Super-G","stříbro","USA","Bode MILLER","1:30.62"
"21","2010","Alpine Skiing","Super-G","bronz","USA","Andrew WEIBRECHT","1:30.65"
"22","2010","Alpine Skiing","Super-G","zlato","AUT","Andrea FISCHBACHER","1:20.14"
"23","2010","Alpine Skiing","Super-G","stříbro","SLO","Tina MAZE","1:20.63"
"24","2010","Alpine Skiing","Super-G","bronz","USA","Lindsey VONN","1:20.88"
"25","2010","Alpine Skiing","Super Combined","zlato","USA","Bode MILLER","2:44.92"
"26","2010","Alpine Skiing","Super Combined","stříbro","CRO","Ivica KOSTELIC","2:45.25"
"27","2010","Alpine Skiing","Super Combined","bronz","SUI","Silvan ZURBRIGGEN","2:45.32"
"28","2010","Alpine Skiing","Super Combined","zlato","GER","Maria RIESCH","2:09.14"
"29","2010","Alpine Skiing","Super Combined","stříbro","USA","Julia MANCUSO","2:10.08"
"30","2010","Alpine Skiing","Super Combined","bronz","SWE","Anja PAERSON","2:10.19"
"31","2010","Bobsleigh","Two-man","zlato","GER","Kevin KUSKE
Andre LANGE","3:26.65"
"32","2010","Bobsleigh","Two-man","stříbro","GER","Thomas FLORSCHUETZ
Richard ADJEI","3:26.87"
"33","2010","Bobsleigh","Two-man","bronz","RUS","Alexsandr ZUBKOV
Alexey VOEVODA","3:27.51"
"34","2010","Bobsleigh","Two-woman","zlato","CAN","Heather MOYSE
Kaillie HUMPHRIES","3:32.28"
"35","2010","Bobsleigh","Two-woman","stříbro","CAN","Helen UPPERTON
Shelley-Ann BROWN","3:33.13"
"36","2010","Bobsleigh","Two-woman","bronz","USA","Elana MEYERS
Erin PAC","3:33.40"
"37","2010","Bobsleigh","Four-man","zlato","USA","Curtis TOMASEVICZ
Steven HOLCOMB
Steve MESLER
Justin OLSEN","3:24.46"
"38","2010","Bobsleigh","Four-man","stříbro","GER","Martin PUTZE
Andre LANGE
Alexander ROEDIGER
Kevin KUSKE","3:24.84"
"39","2010","Bobsleigh","Four-man","bronz","CAN","Chris LE BIHAN
David BISSETT
Lascelles BROWN
Lyndon RUSH","3:24.85"
"40","2010","Biathlon","7.5km","zlato","SVK","Anastazia KUZMINA","19:55.6"
"41","2010","Biathlon","7.5km","stříbro","GER","Magdalena NEUNER","19:57.1"
"42","2010","Biathlon","7.5km","bronz","FRA","Marie DORIN","20:06.5"
"43","2010","Biathlon","10km","zlato","FRA","Vincent JAY","24:07.8"
"44","2010","Biathlon","10km","stříbro","NOR","Emil Hegle SVENDSEN","24:20.0"
"45","2010","Biathlon","10km","bronz","CRO","Jakov FAK","24:21.8"
"46","2010","Biathlon","15km","zlato","NOR","Tora BERGER","40:52.8"
"47","2010","Biathlon","15km","stříbro","KAZ","Elena KHRUSTALEVA","41:13.5"
"48","2010","Biathlon","15km","bronz","BLR","Darya DOMRACHEVA","41:21.0"
"49","2010","Biathlon","20km","zlato","NOR","Emil Hegle SVENDSEN","48:22.5"
"50","2010","Biathlon","20km","stříbro","BLR","Sergey NOVIKOV
Ole Einar BJOERNDALEN","48:32.0"
"51","2010","Biathlon","20km","bronz","","",""
"52","2010","Biathlon","4x6km Relay","zlato","RUS","Anna BOGALIY-TITOVETS
Svetlana SLEPTSOVA
Olga ZAITSEVA
Olga MEDVEDTSEVA","1:09:36.3"
"53","2010","Biathlon","4x6km Relay","stříbro","FRA","Sandrine BAILLY
Sylvie BECAERT
Marie DORIN
Marie Laure BRUNET","1:10:09.1"
"54","2010","Biathlon","4x6km Relay","bronz","GER","Kati WILHELM
Martina BECK
Simone HAUSWALD
Andrea HENKEL","1:10:13.4"
"55","2010","Biathlon","4x7.5km Relay","zlato","NOR","Tarjei BOE
Emil Hegle SVENDSEN
Halvard HANEVOLD
Ole Einar BJOERNDALEN","1:21:38.1"
"56","2010","Biathlon","4x7.5km Relay","stříbro","AUT","Simon EDER
Dominik LANDERTINGER
Christoph SUMANN
Daniel MESOTITSCH","1:22:16.7"
"57","2010","Biathlon","4x7.5km Relay","bronz","RUS","Anton SHIPULIN
Evgeny USTYUGOV
Ivan TCHEREZOV
Maxim TCHOUDOV","1:22:16.9"
"58","2010","Biathlon","10km Pursuit","zlato","GER","Magdalena NEUNER","30:16.0"
"59","2010","Biathlon","10km Pursuit","stříbro","SVK","Anastazia KUZMINA","30:28.3"
"60","2010","Biathlon","10km Pursuit","bronz","FRA","Marie Laure BRUNET","30:44.3"
"61","2010","Biathlon","12.5km Pursuit","zlato","SWE","Bjorn FERRY","33:38.4"
"62","2010","Biathlon","12.5km Pursuit","stříbro","AUT","Christoph SUMANN","33:54.9"
"63","2010","Biathlon","12.5km Pursuit","bronz","FRA","Vincent JAY","34:06.6"
"64","2010","Biathlon","12,5km Mass Start","zlato","GER","Magdalena NEUNER","35:19.6"
"65","2010","Biathlon","12,5km Mass Start","stříbro","RUS","Olga ZAITSEVA","35:25.1"
"66","2010","Biathlon","12,5km Mass Start","bronz","GER","Simone HAUSWALD","35:26.9"
"67","2010","Biathlon","15km Mass Start","zlato","RUS","Evgeny USTYUGOV","35:35.7"
"68","2010","Biathlon","15km Mass Start","stříbro","FRA","Martin FOURCADE","35:46.2"
"69","2010","Biathlon","15km Mass Start","bronz","SVK","Pavol HURAJT","35:52.3"
"70","2010","Cross Country Skiing","10km","zlato","SWE","Charlotte KALLA","24:58.4"
"71","2010","Cross Country Skiing","10km","stříbro","EST","Kristina SMIGUN-VAEHI","25:05.0"
"72","2010","Cross Country Skiing","10km","bronz","NOR","Marit BJOERGEN","25:14.3"
"73","2010","Cross Country Skiing","15km","zlato","SUI","Dario COLOGNA","33:36.3"
"74","2010","Cross Country Skiing","15km","stříbro","ITA","Pietro PILLER COTTRER","34:00.9"
"75","2010","Cross Country Skiing","15km","bronz","CZE","Lukas BAUER","34:12.0"
"76","2010","Cross Country Skiing","4x5km Relay","zlato","NOR","Marit BJOERGEN
Therese JOHAUG
Kristin Stoermer STEIRA
Vibeke W SKOFTERUD","55:19.5"
"77","2010","Cross Country Skiing","4x5km Relay","stříbro","GER","Evi SACHENBACHER-STEHLE
Miriam GOSSNER
Katrin ZELLER
Claudia NYSTAD","55:44.1"
"78","2010","Cross Country Skiing","4x5km Relay","bronz","FIN","Pirjo MURANEN
Virpi KUITUNEN
Aino-Kaisa SAARINEN
Riitta-Liisa ROPONEN","55:49.9"
"79","2010","Cross Country Skiing","4x10km Relay","zlato","SWE","Daniel RICHARDSSON
Anders SOEDERGREN
Marcus HELLNER
Johan OLSSON","1:45:05.4"
"80","2010","Cross Country Skiing","4x10km Relay","stříbro","NOR","Lars BERGER
Odd-Bjoern HJELMESET
Petter NORTHUG
Martin JOHNSRUD SUNDBY","1:45:21.3"
"81","2010","Cross Country Skiing","4x10km Relay","bronz","CZE","Martin JAKS
Lukas BAUER
Jiri MAGAL
Martin KOUKAL","1:45:21.9"
"82","2010","Cross Country Skiing","Team Sprint","zlato","NOR","Petter NORTHUG
Oeystein PETTERSEN","FINAL"
"83","2010","Cross Country Skiing","Team Sprint","stříbro","GER","Axel TEICHMANN
Tim TSCHARNKE","FINAL"
"84","2010","Cross Country Skiing","Team Sprint","bronz","RUS","Alexey PETUKHOV
Nikolay MORILOV","FINAL"
"85","2010","Cross Country Skiing","Team Sprint","zlato","GER","Claudia NYSTAD
Evi SACHENBACHER-STEHLE","FINAL"
"86","2010","Cross Country Skiing","Team Sprint","stříbro","SWE","Charlotte KALLA
Anna HAAG","FINAL"
"87","2010","Cross Country Skiing","Team Sprint","bronz","RUS","Irina KHAZOVA
Natalia KOROSTELEVA","FINAL"
"88","2010","Cross Country Skiing","Sprint 1,5km","zlato","RUS","Nikita KRIUKOV","FINAL"
"89","2010","Cross Country Skiing","Sprint 1,5km","stříbro","RUS","Alexander PANZHINSKIY","FINAL"
"90","2010","Cross Country Skiing","Sprint 1,5km","bronz","NOR","Petter NORTHUG","FINAL"
"91","2010","Cross Country Skiing","Sprint 1.5km","zlato","NOR","Marit BJOERGEN","FINAL"
"92","2010","Cross Country Skiing","Sprint 1.5km","stříbro","POL","Justyna KOWALCZYK","FINAL"
"93","2010","Cross Country Skiing","Sprint 1.5km","bronz","SLO","Petra MAJDIC","FINAL"
"94","2010","Cross Country Skiing","30km","zlato","POL","Justyna KOWALCZYK","1:30:33.7"
"95","2010","Cross Country Skiing","30km","stříbro","NOR","Marit BJOERGEN","1:30:34.0"
"96","2010","Cross Country Skiing","30km","bronz","FIN","Aino-Kaisa SAARINEN","1:31:38.7"
"97","2010","Cross Country Skiing","50km","zlato","NOR","Petter NORTHUG","2:05:35.5"
"98","2010","Cross Country Skiing","50km","stříbro","GER","Axel TEICHMANN","2:05:35.8"
"99","2010","Cross Country Skiing","50km","bronz","SWE","Johan OLSSON","2:05:36.5"
"100","2010","Cross Country Skiing","Combined 7.5 + 7.5km Mass Star","zlato","NOR","Marit BJOERGEN","39:58.1"
"101","2010","Cross Country Skiing","Combined 7.5 + 7.5km Mass Star","stříbro","SWE","Anna HAAG","40:07.0"
"102","2010","Cross Country Skiing","Combined 7.5 + 7.5km Mass Star","bronz","POL","Justyna KOWALCZYK","40:07.4"
"103","2010","Cross Country Skiing","Combined 15 + 15km Mass Start","zlato","SWE","Marcus HELLNER","1:15:11.4"
"104","2010","Cross Country Skiing","Combined 15 + 15km Mass Start","stříbro","GER","Tobias ANGERER","1:15:13.5"
"105","2010","Cross Country Skiing","Combined 15 + 15km Mass Start","bronz","SWE","Johan OLSSON","1:15:14.2"
"106","2010","Curling","Curling","zlato","CAN","Ben HEBERT
John MORRIS
Kevin MARTIN
Adam ENRIGHT
Marc KENNEDY",""
"107","2010","Curling","Curling","stříbro","NOR","Thomas ULSRUD
Torger NERGAARD
Haavard Vad PETERSSON
Thomas LOEVOLD
Christoffer SVAE",""
"108","2010","Curling","Curling","bronz","SUI","Simon STRUEBIN
Toni MUELLER
Markus EGGLER
Ralph STOECKLI
Jan HAUSER",""
"109","2010","Curling","Curling","zlato","SWE","Anette NORBERG
Eva LUND
Anna Le MOINE
Kajsa BERGSTROEM
Cathrine LINDAHL",""
"110","2010","Curling","Curling","stříbro","CAN","Cheryl BERNARD
Kristie MOORE
Cori BARTEL
Carolyn DARBYSHIRE
Susan O CONNOR",""
"111","2010","Curling","Curling","bronz","CHN","Yan ZHOU
Yin LIU
Jinli LIU
Bingyu WANG
Qingshuang YUE",""
"112","2010","Freestyle Skiing","Moguls","zlato","CAN","Alexandre BILODEAU","FINAL"
"113","2010","Freestyle Skiing","Moguls","stříbro","AUS","Dale BEGG-SMITH","FINAL"
"114","2010","Freestyle Skiing","Moguls","bronz","USA","Bryon WILSON","FINAL"
"115","2010","Freestyle Skiing","Moguls","zlato","USA","Hannah KEARNEY","FINAL"
"116","2010","Freestyle Skiing","Moguls","stříbro","CAN","Jennifer HEIL","FINAL"
"117","2010","Freestyle Skiing","Moguls","bronz","USA","Shannon BAHRKE","FINAL"
"118","2010","Freestyle Skiing","Aerials","zlato","BLR","Alexei GRISHIN","FINAL"
"119","2010","Freestyle Skiing","Aerials","stříbro","USA","Jeret PETERSON","FINAL"
"120","2010","Freestyle Skiing","Aerials","bronz","CHN","Zhongqing LIU","FINAL"
"121","2010","Freestyle Skiing","Aerials","zlato","AUS","Lydia LASSILA","FINAL"
"122","2010","Freestyle Skiing","Aerials","stříbro","CHN","Nina LI","FINAL"
"123","2010","Freestyle Skiing","Aerials","bronz","CHN","Xinxin GUO","FINAL"
"124","2010","Freestyle Skiing","Ski Cross","zlato","SUI","Michael SCHMID","BIG_FINAL"
"125","2010","Freestyle Skiing","Ski Cross","stříbro","AUT","Andreas MATT","BIG_FINAL"
"126","2010","Freestyle Skiing","Ski Cross","bronz","NOR","Audun GROENVOLD","BIG_FINAL"
"127","2010","Freestyle Skiing","Ski Cross","zlato","CAN","Ashleigh McIVOR","BIG_FINAL"
"128","2010","Freestyle Skiing","Ski Cross","stříbro","NOR","Hedda BERNTSEN","BIG_FINAL"
"129","2010","Freestyle Skiing","Ski Cross","bronz","FRA","Marion JOSSERAND","BIG_FINAL"
"130","2010","Figure Skating","Individual","zlato","USA","Evan LYSACEK","257.67"
"131","2010","Figure Skating","Individual","stříbro","RUS","Evgeni PLUSHENKO","256.36"
"132","2010","Figure Skating","Individual","bronz","JPN","Daisuke TAKAHASHI","247.23"
"133","2010","Figure Skating","Individual","zlato","KOR","Yuna KIM","228.56"
"134","2010","Figure Skating","Individual","stříbro","JPN","Mao ASADA","205.50"
"135","2010","Figure Skating","Individual","bronz","CAN","Joannie ROCHETTE","202.64"
"136","2010","Figure Skating","Pairs","zlato","CHN","Xue SHEN
Hongbo ZHAO","216.57"
"137","2010","Figure Skating","Pairs","stříbro","CHN","Jian TONG
Qing PANG","213.31"
"138","2010","Figure Skating","Pairs","bronz","GER","Robin SZOLKOWY
Aliona SAVCHENKO","210.60"
"139","2010","Figure Skating","Ice Dancing","zlato","CAN","Tessa VIRTUE
Scott MOIR","221.57"
"140","2010","Figure Skating","Ice Dancing","stříbro","USA","Meryl DAVIS
Charlie WHITE","215.74"
"141","2010","Figure Skating","Ice Dancing","bronz","RUS","Maxim SHABALIN
Oksana DOMNINA","207.64"
"142","2010","Ice Hockey","Ice Hockey","zlato","CAN","Drew DOUGHTY
Duncan KEITH
Sidney CROSBY
Patrice BERGERON
Patrick MARLEAU
Dany HEATLEY
Roberto LUONGO
Corey PERRY
Joe THORNTON
Brent SEABROOK
Dan BOYLE
Eric STAAL
Jarome IGINLA
Rick NASH
Mike RICHARDS
Brenden MORROW
Scott NIEDERMAYER
Ryan GETZLAF
Martin BRODEUR
Shea WEBER
Chris PRONGER
Jonathan TOEWS
Marc-Andre FLEURY",""
"143","2010","Ice Hockey","Ice Hockey","stříbro","USA","Jonathan QUICK
Paul STASTNY
Zach PARISE
Brian RAFALSKI
Tim THOMAS
Jack JOHNSON
Joe PAVELSKI
Ryan MILLER
Erik JOHNSON
David BACKES
Bobby RYAN
Chris DRURY
Ryan SUTER
Patrick KANE
Dustin BROWN
Ryan KESLER
Brooks ORPIK
Jamie LANGENBRUNNER
Tim GLEASON
Ryan WHITNEY
Ryan MALONE
Phil KESSEL
Ryan CALLAHAN",""
"144","2010","Ice Hockey","Ice Hockey","bronz","FIN","Ville PELTONEN
Tuomo RUUTU
Janne NISKALA
Antti MIETTINEN
Miikka KIPRUSOFF
Olli JOKINEN
Niko KAPANEN
Sami LEPISTO
Toni LYDMAN
Jarkko RUUTU
Saku KOIVU
Jarkko IMMONEN
Sami SALO
Kimmo TIMONEN
Lasse KUKKONEN
Antero NIITTYMAKI
Niklas HAGMAN
Joni PITKANEN
Niklas BACKSTROM
Mikko KOIVU
Valtteri FILPPULA
Teemu SELANNE
Jere LEHTINEN",""
"145","2010","Ice Hockey","Ice Hockey","zlato","CAN","Becky KELLAR
Meaghan MIKKELSON
Tessa BONHOMME
Jayna HEFFORD
Meghan AGOSTA
Jennifer BOTTERILL
Carla MACLEOD
Catherine WARD
Colleen SOSTORICS
Gina KINGSBURY
Hayley WICKENHEISER
Cherie PIPER
Rebecca JOHNSTON
Marie-Philip POULIN
Haley IRWIN
Shannon SZABADOS
Caroline OUELLETTE
Charline LABONTE
Sarah VAILLANCOURT
Gillian APPS
Kim ST-PIERRE",""
"146","2010","Ice Hockey","Ice Hockey","stříbro","USA","Kerry WEILAND
Molly ENGSTROM
Brianne McLAUGHLIN
Julie CHU
Kacey BELLAMY
Natalie DARWITZ
Jinelle ZAUGG-SIERGIEJ
Erika LAWLER
Meghan DUGGAN
Hilary KNIGHT
Jocelyne LAMOUREUX
Gigi MARVIN
Monique LAMOUREUX
Kelli STACK
Lisa CHESSON
Angela RUGGIERO
Molly SCHAUS
Caitlin CAHOW
Jessie VETTER
Karen THATCHER
Jenny POTTER",""
"147","2010","Ice Hockey","Ice Hockey","bronz","FIN","Anna VANHATALO
Mira KUISMA
Mari SAARINEN
Saija SIRVIO
Venla HOVI
Jenni HIIRIKOSKI
Saara TUOMINEN
Emma LAAKSONEN
Noora RATY
Annina RAJAHUHTA
Minnamari TUOMINEN
Anne HELIN
Mariia POSA
Heidi PELTTARI
Terhi MERTANEN
Rosa LINDSTEDT
Karoliina RANTAMAKI
Michelle KARVINEN
Marjo VOUTILAINEN
Nina TIKKINEN
Linda VALIMAKI",""
"148","2010","Luge","Singles","zlato","GER","Felix LOCH","3:13.085"
"149","2010","Luge","Singles","stříbro","GER","David MOELLER","3:13.764"
"150","2010","Luge","Singles","bronz","ITA","Armin ZOEGGELER","3:14.375"
"151","2010","Luge","Singles","zlato","GER","Tatjana HUEFNER","2:46.524"
"152","2010","Luge","Singles","stříbro","AUT","Nina REITHMAYER","2:47.014"
"153","2010","Luge","Singles","bronz","GER","Natalie GEISENBERGER","2:47.101"
"154","2010","Luge","Doubles","zlato","AUT","Wolfgang LINGER
Andreas LINGER","1:22.705"
"155","2010","Luge","Doubles","stříbro","LAT","Andris SICS
Juris SICS","1:22.969"
"156","2010","Luge","Doubles","bronz","GER","Alexander RESCH
Patric LEITNER","1:23.040"
"157","2010","Nordic Combined","Individual, Ski Jumping K90 (70m)","zlato","FRA","Jason LAMY CHAPPUIS","25:47.1"
"158","2010","Nordic Combined","Individual, Ski Jumping K90 (70m)","stříbro","USA","Johnny SPILLANE","25:47.5"
"159","2010","Nordic Combined","Individual, Ski Jumping K90 (70m)","bronz","ITA","Alessandro PITTIN","25:47.9"
"160","2010","Nordic Combined","Team, 4x5 Km","zlato","AUT","Felix GOTTWALD
Mario STECHER
David KREINER
Bernhard GRUBER","49:31.6"
"161","2010","Nordic Combined","Team, 4x5 Km","stříbro","USA","Johnny SPILLANE
Bill DEMONG
Brett CAMEROTA
Todd LODWICK","49:36.8"
"162","2010","Nordic Combined","Team, 4x5 Km","bronz","GER","Tino EDELMANN
Johannes RYDZEK
Bjoern KIRCHEISEN
Eric FRENZEL","49:51.1"
"163","2010","Nordic Combined","SPRINT K120","zlato","USA","Bill DEMONG","25:32.9"
"164","2010","Nordic Combined","SPRINT K120","stříbro","USA","Johnny SPILLANE","25:36.9"
"165","2010","Nordic Combined","SPRINT K120","bronz","AUT","Bernhard GRUBER","25:43.7"
"166","2010","Snowboard","Half-pipe","zlato","USA","Shaun WHITE","FINAL"
"167","2010","Snowboard","Half-pipe","stříbro","FIN","Peetu PIIROINEN","FINAL"
"168","2010","Snowboard","Half-pipe","bronz","USA","Scott LAGO","FINAL"
"169","2010","Snowboard","Half-pipe","zlato","AUS","Torah BRIGHT","FINAL"
"170","2010","Snowboard","Half-pipe","stříbro","USA","Hannah TETER","FINAL"
"171","2010","Snowboard","Half-pipe","bronz","USA","Kelly CLARK","FINAL"
"172","2010","Snowboard","Giant Parallel Slalom","zlato","CAN","Jasey Jay ANDERSON","BIG_FINAL"
"173","2010","Snowboard","Giant Parallel Slalom","stříbro","AUT","Benjamin KARL","BIG_FINAL"
"174","2010","Snowboard","Giant Parallel Slalom","bronz","FRA","Mathieu BOZZETTO","SMALL_FINAL"
"175","2010","Snowboard","Giant Parallel Slalom","zlato","NED","Nicolien SAUERBREIJ","BIG_FINAL"
"176","2010","Snowboard","Giant Parallel Slalom","stříbro","RUS","Ekaterina ILYUKHINA","BIG_FINAL"
"177","2010","Snowboard","Giant Parallel Slalom","bronz","AUT","Marion KREINER","SMALL_FINAL"
"178","2010","Snowboard","Snowboard Cross","zlato","USA","Seth WESCOTT","BIG_FINAL"
"179","2010","Snowboard","Snowboard Cross","stříbro","CAN","Mike ROBERTSON","BIG_FINAL"
"180","2010","Snowboard","Snowboard Cross","bronz","FRA","Tony RAMOIN","BIG_FINAL"
"181","2010","Snowboard","Snowboard Cross","zlato","CAN","Maelle RICKER","BIG_FINAL"
"182","2010","Snowboard","Snowboard Cross","stříbro","FRA","Deborah ANTHONIOZ","BIG_FINAL"
"183","2010","Snowboard","Snowboard Cross","bronz","SUI","Olivia NOBS","BIG_FINAL"
"184","2010","Ski Jumping","K90 Individual (70m)","zlato","SUI","Simon AMMANN","276.5"
"185","2010","Ski Jumping","K90 Individual (70m)","stříbro","POL","Adam MALYSZ","269.5"
"186","2010","Ski Jumping","K90 Individual (70m)","bronz","AUT","Gregor SCHLIERENZAUER","268.0"
"187","2010","Ski Jumping","K120 Individual (90m)","zlato","SUI","Simon AMMANN","283.6"
"188","2010","Ski Jumping","K120 Individual (90m)","stříbro","POL","Adam MALYSZ","269.4"
"189","2010","Ski Jumping","K120 Individual (90m)","bronz","AUT","Gregor SCHLIERENZAUER","262.2"
"190","2010","Ski Jumping","K120 Team (90m)","zlato","AUT","Wolfgang LOITZL
Andreas KOFLER
Thomas MORGENSTERN
Gregor SCHLIERENZAUER","1107.9"
"191","2010","Ski Jumping","K120 Team (90m)","stříbro","GER","Andreas WANK
Michael UHRMANN
Martin SCHMITT
Michael NEUMAYER","1035.8"
"192","2010","Ski Jumping","K120 Team (90m)","bronz","NOR","Anders BARDAL
Anders JACOBSEN
Johan Remen EVENSEN
Tom HILDE","1030.3"
"193","2010","Skeleton","Individual","zlato","CAN","Jon MONTGOMERY","3:29.73"
"194","2010","Skeleton","Individual","stříbro","LAT","Martins DUKURS","3:29.80"
"195","2010","Skeleton","Individual","bronz","RUS","Alexander TRETIAKOV","3:30.75"
"196","2010","Skeleton","Individual","zlato","GBR","Amy WILLIAMS","3:35.64"
"197","2010","Skeleton","Individual","stříbro","GER","Kerstin SZYMKOWIAK","3:36.20"
"198","2010","Skeleton","Individual","bronz","GER","Anja HUBER","3:36.36"
"199","2010","Speed Skating","1000m","zlato","USA","Shani DAVIS","1:08.94"
"200","2010","Speed Skating","1000m","stříbro","KOR","Tae-Bum MO","1:09.12"
"201","2010","Speed Skating","1000m","bronz","USA","Chad HEDRICK","1:09.32"
"202","2010","Speed Skating","1000m","zlato","CAN","Christine NESBITT","1:16.56"
"203","2010","Speed Skating","1000m","stříbro","NED","Annette GERRITSEN","1:16.58"
"204","2010","Speed Skating","1000m","bronz","NED","Laurine van RIESSEN","1:16.72"
"205","2010","Speed Skating","1500m","zlato","NED","Mark TUITERT","1:45.57"
"206","2010","Speed Skating","1500m","stříbro","USA","Shani DAVIS","1:46.10"
"207","2010","Speed Skating","1500m","bronz","NOR","Havard BOKKO","1:46.13"
"208","2010","Speed Skating","1500m","zlato","NED","Ireen WUST","1:56.89"
"209","2010","Speed Skating","1500m","stříbro","CAN","Kristina GROVES","1:57.14"
"210","2010","Speed Skating","1500m","bronz","CZE","Martina SABLIKOVA","1:57.96"
"211","2010","Speed Skating","3000m","zlato","CZE","Martina SABLIKOVA","4:02.53"
"212","2010","Speed Skating","3000m","stříbro","GER","Stephanie BECKERT","4:04.62"
"213","2010","Speed Skating","3000m","bronz","CAN","Kristina GROVES","4:04.84"
"214","2010","Speed Skating","5000m","zlato","NED","Sven KRAMER","6:14.60"
"215","2010","Speed Skating","5000m","stříbro","KOR","Seung-Hoon LEE","6:16.95"
"216","2010","Speed Skating","5000m","bronz","RUS","Ivan SKOBREV","6:18.05"
"217","2010","Speed Skating","5000m","zlato","CZE","Martina SABLIKOVA","6:50.91"
"218","2010","Speed Skating","5000m","stříbro","GER","Stephanie BECKERT","6:51.39"
"219","2010","Speed Skating","5000m","bronz","CAN","Clara HUGHES","6:55.73"
"220","2010","Speed Skating","10000m","zlato","KOR","Seung-Hoon LEE","12:58.55"
"221","2010","Speed Skating","10000m","stříbro","RUS","Ivan SKOBREV","13:02.07"
"222","2010","Speed Skating","10000m","bronz","NED","Bob DE JONG","13:06.73"
"223","2010","Speed Skating","2x500m","zlato","KOR","Tae-Bum MO","69.82"
"224","2010","Speed Skating","2x500m","stříbro","JPN","Keiichiro NAGASHIMA","69.98"
"225","2010","Speed Skating","2x500m","bronz","JPN","Joji KATO","70.01"
"226","2010","Speed Skating","2x500m","zlato","KOR","Sang-Hwa LEE","76.09"
"227","2010","Speed Skating","2x500m","stříbro","GER","Jenny WOLF","76.14"
"228","2010","Speed Skating","2x500m","bronz","CHN","Beixing WANG","76.63"
"229","2010","Speed Skating","Team Pursuit","zlato","GER","Stephanie BECKERT
Daniela ANSCHUTZ THOMS
Anni FRIESINGER
Katrin MATTSCHERODT","FA"
"230","2010","Speed Skating","Team Pursuit","stříbro","JPN","Maki TABATA
Masako HOZUMI
Nao KODAIRA","FA"
"231","2010","Speed Skating","Team Pursuit","bronz","POL","Katarzyna WOZNIAK
Luiza ZLOTKOWSKA
Katarzyna BACHLEDA-CURUS","FB"
"232","2010","Speed Skating","Team Pursuit","zlato","CAN","Denny MORRISON
Mathieu GIROUX
Lucas MAKOWSKY","FA"
"233","2010","Speed Skating","Team Pursuit","stříbro","USA","Jonathan KUCK
Trevor MARSICANO
Chad HEDRICK
Brian HANSEN","FA"
"234","2010","Speed Skating","Team Pursuit","bronz","NED","Sven KRAMER
Simon KUIPERS
Jan BLOKHUIJSEN
Mark TUITERT","FB"
"235","2010","Short Track Speed Skating","500m","zlato","CAN","Charles HAMELIN","FINALS"
"236","2010","Short Track Speed Skating","500m","stříbro","KOR","Si-Bak SUNG","FINALS"
"237","2010","Short Track Speed Skating","500m","bronz","CAN","Francois-Louis TREMBLAY","FINALS"
"238","2010","Short Track Speed Skating","500m","zlato","CHN","Meng WANG","FINALS"
"239","2010","Short Track Speed Skating","500m","stříbro","CAN","Marianne ST-GELAIS","FINALS"
"240","2010","Short Track Speed Skating","500m","bronz","ITA","Arianna FONTANA","FINALS"
"241","2006","Alpine Skiing","Downhill","zlato","FRA","Antoine DENERIAZ","1:48.80"
"242","2006","Alpine Skiing","Downhill","stříbro","AUT","Michael WALCHHOFER","1:49.52"
"243","2006","Alpine Skiing","Downhill","bronz","SUI","Bruno KERNEN","1:49.82"
"244","2006","Alpine Skiing","Downhill","zlato","AUT","Michaela DORFMEISTER","1:56.49"
"245","2006","Alpine Skiing","Downhill","stříbro","SUI","Martina SCHILD","1:56.86"
"246","2006","Alpine Skiing","Downhill","bronz","SWE","Anja PAERSON","1:57.13"
